N_MAX,count_4k1,count_4k3,delta_sum_norm,delta_diff_norm,delta_ratio,ratio_4k1,ratio_4k3
25000,1372,1389,0.004799580534189163,0.048149171529852486,0.07143719093330314,1.2528402942979666,1.1814031033646635
50000,2549,2583,0.003145015466448964,0.03485521838391267,0.051220114285370766,1.2178633746379612,1.1666432603525905
100000,4783,4808,0.001293178661617711,0.023871066646222364,0.03495638006652979,1.1894093710088525,1.1544529909423227
250000,10996,11047,0.0006442204801857532,0.015033194879866665,0.02188544423892247,1.1630756528507515,1.141190208611829
